"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","House_Age_Yrs","RemodAdd_Age_Yrs","Garage_Age_Yrs","SalePrice","RoofMatl_WdShngl","FireplaceQu_Ex","HeatingQC_Ex","GarageQual_abv_avg","PoolQC_Ex","Heating_Gas","SaleCondition_Partial","OverallQual2_x_GarageCars","OverallQual2_x_TotRmsAbvGrd_log","OverallQual2_x_GrLivArea","OverallQual2_x_LotArea_log","OverallQual_2"
"29","20","RL",47,16321,"Pave","NoA","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf",0,207,1484,"Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"TA",6,"Typ",2,"Attchd","RFn",1,319,"TA","Y",288,258,0,0,0,0,"NoF","NoM",0,"12","2006","WD",49,9,49,207500,0,0,0,1,0,1,0,25,44.7939867307014,40000,242.505197528767,25
"30","30","RM",60,6324,"Pave","NoA","IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,520,520,"N","SBrkr",520,0,0,520,0,0,1,0,1,1,"Fa",4,"Typ",0,"Detchd","Unf",1,240,"TA","Y",49,0,87,0,0,0,"NoF","NoM",0,"5","2008","WD",81,58,88,68500,0,0,0,0,0,1,0,16,22.1807097779182,8320,140.03371517327,16
"31","70","C (all)",50,8500,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,"Gambrel","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",0,649,649,"N","SBrkr",649,668,0,1317,0,0,1,0,3,1,"TA",6,"Typ",0,"Detchd","Unf",1,250,"Fa","N",0,54,172,0,0,0,"MnPrv","NoM",0,"7","2008","WD",88,58,88,40000,0,0,0,1,0,1,0,16,28.6681515076489,21072,144.765143079655,16
"32","20","RL",0,8544,"Pave","NoA","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1228,1228,"Y","SBrkr",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,"Typ",0,"Attchd","Unf",1,271,"TA","Y",0,65,0,0,0,0,"MnPrv","NoM",0,"6","2008","WD",42,2,42,149350,0,0,0,1,0,1,0,25,44.7939867307014,30700,226.324614029999,25
"33","20","RL",85,11049,"Pave","NoA","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1234,1234,"Y","SBrkr",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd","RFn",2,484,"TA","Y",0,30,0,0,0,0,"NoF","NoM",0,"1","2008","WD",1,1,1,179900,0,0,1,1,0,1,0,128,124.53824953954,78976,595.846093127243,64
"34","20","RL",70,10552,"Pave","NoA","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,"Hip","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",1018,"Unf",0,380,1398,"Y","SBrkr",1700,0,0,1700,0,1,1,1,4,1,"Gd",6,"Typ",1,"Attchd","RFn",2,447,"TA","Y",0,38,0,0,0,0,"NoF","NoM",0,"4","2010","WD",51,51,51,165500,0,0,0,1,0,1,0,50,44.7939867307014,42500,231.601767359929,25
"35","120","RL",60,7313,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,"Hip","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ",1153,"Unf",0,408,1561,"Y","SBrkr",1561,0,0,1561,1,0,2,0,2,1,"Ex",6,"Typ",1,"Attchd","Fin",2,556,"TA","Y",203,47,0,0,0,0,"NoF","NoM",0,"8","2007","WD",2,2,2,277500,0,0,1,1,0,1,0,162,145.132517007472,126441,720.690118086947,81
"36","60","RL",108,13418,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,"Gable","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1117,1117,"Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,"Typ",1,"BuiltIn","Fin",3,691,"TA","Y",113,32,0,0,0,0,"NoF","NoM",0,"9","2006","WD",2,1,2,309000,0,0,1,1,0,1,0,192,140.622372949518,156928,608.278551559861,64
"37","20","RL",112,10859,"Pave","NoA","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1097,1097,"Y","SBrkr",1097,0,0,1097,0,0,1,1,3,1,"TA",6,"Typ",0,"Attchd","Unf",2,672,"TA","Y",392,64,0,0,0,0,"NoF","NoM",0,"6","2009","WD",15,14,14,145000,0,0,1,1,0,1,0,50,44.7939867307014,27425,232.318737705423,25
"38","20","RL",74,8532,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"Hip","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Rec",1213,"Unf",0,84,1297,"Y","SBrkr",1297,0,0,1297,0,1,1,0,3,1,"TA",5,"Typ",1,"Attchd","Fin",2,498,"TA","Y",0,0,0,0,0,0,"NoF","NoM",0,"10","2009","WD",55,19,55,153000,0,0,0,1,0,1,0,50,40.2359478108525,32425,226.289476989781,25
"39","20","RL",68,7922,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ",731,"Unf",0,326,1057,"Y","SBrkr",1057,0,0,1057,1,0,1,0,3,1,"Gd",5,"Typ",0,"Detchd","Unf",1,246,"TA","Y",0,52,0,0,0,0,"NoF","NoM",0,"1","2010","WD",57,3,57,109000,0,0,0,1,0,1,0,25,40.2359478108525,26425,224.434974454547,25
"40","90","RL",65,6040,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",4,5,"Gable","AsbShng","Plywood","None",0,"TA","TA","PConc","NoB","NoB","NoB","NoB",0,"NoB",0,0,0,"N","FuseP",1152,0,0,1152,0,0,2,0,2,2,"Fa",6,"Typ",0,"NoG","NoG",0,0,"NoG","N",0,0,0,0,0,0,"NoF","NoM",0,"6","2008","WD",53,53,0,82000,0,0,0,0,0,1,0,0,28.6681515076489,18432,139.298548654862,16
"41","20","RL",84,8658,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,"Gable","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec",643,"Unf",0,445,1088,"Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"TA",6,"Typ",1,"Attchd","RFn",2,440,"TA","Y",0,138,0,0,0,0,"GdWo","NoM",0,"12","2006","WD",41,41,41,160000,0,0,1,1,0,1,0,72,64.50334089221,47664,326.384605008069,36
"42","20","RL",115,16905,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",5,6,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",967,"Unf",0,383,1350,"Y","SBrkr",1328,0,0,1328,0,1,1,1,2,1,"TA",5,"Typ",2,"Attchd","RFn",1,308,"TA","P",0,104,0,0,0,0,"NoF","NoM",0,"7","2007","WD",48,48,48,170000,0,0,0,1,0,1,0,25,40.2359478108525,33200,243.38411787855,25
"43","85","RL",0,9180,"Pave","NoA","IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",5,7,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",747,"LwQ",93,0,840,"Y","SBrkr",884,0,0,884,1,0,1,0,2,1,"Gd",5,"Typ",0,"Attchd","RFn",2,504,"Gd","Y",240,0,0,0,0,0,"MnPrv","NoM",0,"12","2007","WD",24,24,24,144000,0,0,0,1,0,1,0,50,40.2359478108525,22100,228.119562090363,25
"44","20","RL",0,9200,"Pave","NoA","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,"Hip","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",280,"BLQ",491,167,938,"Y","SBrkr",938,0,0,938,1,0,1,0,3,1,"TA",5,"Typ",0,"Detchd","Unf",1,308,"TA","Y",145,0,0,0,0,0,"MnPrv","NoM",0,"7","2008","WD",33,28,31,130250,0,0,0,1,0,1,0,25,40.2359478108525,23450,228.173969075928,25
"45","20","RL",70,7945,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"Gable","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",179,"BLQ",506,465,1150,"Y","FuseA",1150,0,0,1150,1,0,1,0,3,1,"TA",6,"Typ",0,"Attchd","RFn",1,300,"TA","Y",0,0,0,0,0,0,"NoF","NoM",0,"5","2006","WD",47,47,47,141000,0,0,1,1,0,1,0,25,44.7939867307014,28750,224.50745197427,25
